Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Lachnoanaerobaculum saburreum	0	0	150	365	423	841	44	14	21	69	10	0	36	31	64	69	85	91	0	0	91	120	0	0	0	0	102	28
Lachnoanaerobaculum sp000209465	0	0	344	820	5633	10075	21	11	292	542	15	12	24	18	589	538	211	278	0	0	189	293	0	0	16	11	11	0
Lautropia dentalis	31	0	40	17	1077	479	64	0	53	32	160	41	0	0	2244	457	391	127	0	0	616	271	0	0	14	0	174	19
Lautropia mirabilis	14	0	2480	971	70776	29834	428	54	1746	956	900	293	22	0	62093	12140	10226	4041	50	0	21055	9532	69	11	83	22	167	13
Leptotrichia A sp000469505	0	0	22	67	517	1170	0	0	41	70	0	0	0	0	847	975	156	269	0	0	92	184	0	0	11	0	71	29
Leptotrichia A sp001274535	0	0	57	188	5942	12227	27	14	110	256	33	39	17	24	6043	6562	888	1370	0	0	461	1151	0	0	12	0	48	12
Leptotrichia A sp905371725	0	0	25	62	2304	4632	28	0	42	85	10	10	0	0	1484	1595	285	440	0	0	129	279	0	0	0	0	28	11
Leptotrichia buccalis	0	0	1426	3247	1221	2513	0	0	0	12	0	0	11	0	149	175	66	103	0	0	87	127	0	0	13	0	12	0
Leptotrichia hofstadii	0	0	115	202	279	513	0	0	0	0	0	0	0	0	146	206	20	48	0	0	18	46	0	0	0	0	15	10
Leptotrichia massiliensis	0	0	114	280	964	1919	10	0	27	43	0	0	0	0	471	618	40	92	0	0	31	71	0	0	0	0	26	16
Leptotrichia sp013394795	0	0	192	404	153	305	0	0	0	0	0	0	0	0	110	100	15	30	0	0	29	37	0	0	0	0	0	0
Mesocricetibacter sp905373425	0	0	51	48	2334	3017	708	131	899	989	2410	1414	0	0	17350	10239	4061	3659	0	0	1176	1128	0	0	0	0	0	0
Methanobrevibacter A oralis	0	0	215	1033	272	944	1474	598	767	1399	140	75	24110	17352	332	360	4126	5967	0	0	6566	10309	0	0	3291	2827	13	11
Mogibacterium diversum	0	0	32	55	15	26	99	27	62	95	27	15	0	0	194	117	758	619	0	0	149	166	0	0	21	0	40	18
Mogibacterium pumilum	0	0	288	445	95	129	446	111	599	789	172	73	44	45	831	486	3535	2835	0	0	506	489	0	0	106	61	0	0
Mogibacterium timidum	0	0	208	432	109	276	25	11	81	97	13	0	48	32	75	67	277	241	0	0	104	117	0	0	29	16	48	11
Nanoperiomorbus periodonticus	0	0	4122	3702	802	863	71	26	17	20	0	0	53	11	32	20	62	34	0	0	636	447	0	0	976	371	0	0
Nanoperiomorbus sp013333515	0	0	4471	4065	900	798	156	35	49	41	0	0	82	40	34	24	75	45	0	0	832	597	0	0	1921	648	0	0
