gc_bin,counts_gc,Study
"(90,91]",1805,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(91,92]",1133,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(92,93]",1077,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(93,94]",447,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(94,95]",354,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(95,96]",158,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(96,97]",129,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(97,98]",280,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(98,99]",450,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(99,100]",13945,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"[0,1]",630,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(1,2]",2,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(2,3]",3,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(3,4]",3,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(4,5]",8,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(5,6]",13,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(6,7]",8,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(7,8]",13,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(8,9]",21,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(9,10]",38,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(10,11]",43,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(11,12]",86,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(12,13]",110,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(13,14]",216,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(14,15]",331,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(15,16]",499,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(16,17]",692,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(17,18]",1293,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(18,19]",1573,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(19,20]",2986,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(20,21]",2534,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(21,22]",4667,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(22,23]",5574,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(23,24]",7951,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(24,25]",11959,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(25,26]",9619,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(26,27]",14713,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(27,28]",19911,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(28,29]",22316,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(29,30]",28802,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(30,31]",29967,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(31,32]",39552,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(32,33]",43585,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(33,34]",47821,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(34,35]",61710,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(35,36]",66571,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
