gc_bin,counts_gc,Study
"(30,31]",19653,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(31,32]",26239,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(32,33]",34110,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(33,34]",21,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(34,35]",44622,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(35,36]",56822,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(36,37]",72117,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(37,38]",49,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(38,39]",90886,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(39,40]",112285,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(40,41]",136483,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(41,42]",88,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(42,43]",166367,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(43,44]",196832,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(44,45]",232563,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(45,46]",168,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(46,47]",272555,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(47,48]",314517,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(48,49]",362026,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(49,50]",415534,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(50,51]",283,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(51,52]",467977,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(52,53]",522571,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(53,54]",567264,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(54,55]",333,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(55,56]",601270,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(56,57]",616657,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(57,58]",613455,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(58,59]",352,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
