#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__WJJG01|g__VGIY01	0	0	4	0	2	0	1	0	2	0	7	0	19	1	2	1	1	1	4	0	1	1	0	0	0	1	2	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__WJJG01|g__VGIY01|s__VGIY01 sp016867695	0	0	4	0	2	0	1	0	2	0	7	0	19	1	2	1	1	1	4	0	1	1	0	0	0	1	2	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__WJJG01|s__WJJG01 sp014729815	0	0	4	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	13	1	0	1	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|s__CAIMUX01 sp903844735	0	0	2	1	3	0	2	0	2	0	1	0	7	0	1	0	0	1	17	0	2	1	0	0	2	0	1	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|g__JADJQY01	0	0	2	4	1	0	0	1	1	1	1	1	0	1	2	1	1	0	1	0	2	3	0	0	0	0	5	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|g__JADJQY01|s__JADJQY01 sp016712505	0	0	2	4	1	0	0	1	1	1	1	1	0	1	2	1	1	0	1	0	2	3	0	0	0	0	5	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__JAHJDP01	0	0	1	0	0	1	5	0	0	0	2	1	0	0	1	0	0	0	4	1	1	0	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__JAHJDP01|s__JAHJDP01 sp018831195	0	0	1	0	0	1	5	0	0	0	2	1	0	0	1	0	0	0	4	1	1	0	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__VGJL01	0	0	2	0	1	0	0	0	1	0	2	1	0	1	4	3	3	0	12	0	3	4	0	0	0	0	3	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__VGJL01|s__VGJL01 sp016867495	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__VGJL01|g__WJJW01	0	0	2	0	0	0	0	0	1	0	1	0	0	1	4	2	2	0	11	0	2	3	0	0	0	0	2	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__VGJL01|g__WJJW01|s__WJJW01 sp014729455	0	0	2	0	0	0	0	0	1	0	1	0	0	1	4	2	2	0	11	0	2	3	0	0	0	0	2	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__JAFGJU01	0	0	2	0	5	0	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	1	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__JAFGJU01|s__JAFGJU01 sp016928935	0	0	2	0	5	0	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	1	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__JABFRW01	0	0	1	1	1	0	2	1	2	0	2	3	1	0	2	1	1	1	4	0	0	0	0	0	1	0	10	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__JABFRW01|s__JABFRW01 sp013140805	0	0	1	1	1	0	2	1	2	0	2	3	1	0	2	1	1	1	4	0	0	0	0	0	1	0	10	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__WS-11	0	0	5	0	3	2	14	1	3	1	12	4	5	2	3	0	1	0	52	0	6	1	0	0	2	0	8	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__WS-11|s__WS-11 sp005893365	0	0	3	0	2	2	9	0	3	1	10	2	5	2	2	0	1	0	36	0	5	0	0	0	0	0	7	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__WS-11|s__WS-11 sp016178725	0	0	2	0	1	0	5	1	0	0	1	2	0	0	1	0	0	0	16	0	1	1	0	0	2	0	1	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__WS-2	0	0	1	0	1	0	3	0	7	2	4	2	4	3	0	0	1	1	13	0	1	2	0	0	0	0	6	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__WS-2|s__WS-2 sp005893185	0	0	1	0	1	0	3	0	7	2	4	2	4	3	0	0	1	1	13	0	1	2	0	0	0	0	6	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|s__RBG-16-71-46 sp001780165	0	0	0	1	0	1	6	0	0	3	6	0	5	0	3	0	1	1	27	1	1	1	0	0	3	0	5	1
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252	0	0	8	4	2	8	24	0	7	3	23	3	34	3	4	0	6	4	82	1	14	0	0	0	3	1	22	2
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-9	0	0	1	1	1	3	9	0	0	0	12	2	7	2	1	0	3	1	25	1	3	0	0	0	3	1	2	1
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-9|s__WS-9 sp005893305	0	0	1	1	1	2	4	0	0	0	3	1	1	2	0	0	1	0	8	1	0	0	0	0	1	0	2	1
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-9|s__WS-9 sp016880395	0	0	0	0	0	1	5	0	0	0	9	1	6	0	1	0	2	1	17	0	3	0	0	0	2	1	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-7	0	0	7	1	1	2	5	0	5	1	10	0	10	0	3	0	1	3	41	0	10	0	0	0	0	0	10	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-7|s__WS-7 sp005893275	0	0	0	0	0	1	3	0	1	1	2	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	6	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-7|s__WS-7 sp005893265	0	0	0	0	0	0	1	0	2	0	5	0	0	0	1	0	1	2	6	0	1	0	0	0	0	0	4	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-7|s__WS-7 sp016207265	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|g__WS-7|s__WS-7 sp005893165	0	0	1	0	0	0	1	0	1	0	2	0	5	0	1	0	0	1	9	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__SZUA-252|s__SZUA-252 sp003235575	0	0	0	2	0	3	0	0	2	2	1	1	17	1	0	0	2	0	16	0	1	0	0	0	0	0	7	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|f__JACRLI01	0	0	1	0	2	0	0	0	5	3	2	1	77	5	2	0	6	1	8	0	4	1	0	0	4	2	5	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|f__JACRLI01|s__JACRLI01 sp016235265	0	0	1	0	2	0	0	0	5	3	2	1	77	5	2	0	6	1	8	0	4	1	0	0	4	2	5	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__CADEFY01	0	0	0	0	5	0	2	0	1	0	4	0	6	1	0	0	1	1	7	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__CADEFY01|s__CADEFY01 sp902826705	0	0	0	0	5	0	2	0	1	0	4	0	6	1	0	0	1	1	7	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|g__JACOSU01	0	0	1	0	1	0	0	0	2	0	3	0	3	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0
