Species	BAN001.A0101.SG1.1_5M	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M	BAN001.A0102.SG1.4_5M_over50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M	CDM019.A0102.SG1.4_5M_over50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M	CDM020.A0102.SG1.4_5M_over50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M	FUM002.A0102.SG1.5_5M_over50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M	FUM003.A0102.SG1.4_5M_over50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M	GDN001.A0102.SG1.3_5M_over50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M	GOY005.A0103.SG1.4_5M_over50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M	GOY006.A0102.SG1.5_5M_over50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M	PES001.B0101.SG1.3_5M_over50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M	PES001.B0102.SG1.5_5M_over50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M	VLD001.A0102.SG1.2_5M_over50bp	VLD001.A0102.SG1.2_5M_under50bp
Campylobacter B sp900539505	0	0	0	1	0	1	704	572	132	705	487	218	520	386	134	536	383	153	20	6	14	23	13	10	13	6	7	4	0	4	12	9	3	13	6	7	358	199	159	229	102	127	259	175	84	203	101	102	82	58	24	111	66	45	66	34	32	75	37	38
Campylobacter B sp905373215	0	0	0	0	0	0	577	445	132	669	468	201	446	337	109	497	348	149	21	6	15	15	8	7	5	5	0	5	3	2	13	8	5	8	4	4	227	134	93	153	68	85	210	143	67	158	82	76	57	37	20	80	44	36	37	16	21	44	18	26
Campylobacter B sp905373295	0	0	0	0	0	0	592	485	107	615	426	189	454	346	108	469	323	146	12	6	6	15	5	10	4	2	2	5	1	4	14	9	5	10	3	7	260	158	102	182	77	105	247	163	84	194	96	98	57	38	19	71	31	40	61	37	24	45	14	31
Capnocytophaga bilenii	0	0	0	0	0	0	14	10	4	36	26	10	712	538	174	1243	899	344	4	1	3	5	2	3	3	3	0	15	9	6	0	0	0	0	0	0	70	42	28	120	54	66	49	28	21	103	49	54	6	5	1	19	10	9	2	2	0	3	2	1
Capnocytophaga endodontalis	0	0	0	4	2	2	208	162	46	379	256	123	1319	963	356	2418	1725	693	16	8	8	34	14	20	20	8	12	28	12	16	1	1	0	4	2	2	585	295	290	907	388	519	288	170	118	494	225	269	94	63	31	193	112	81	6	5	1	9	3	6
Capnocytophaga gingivalis	2	0	2	2	1	1	72	57	15	129	96	33	1811	1341	470	2912	2082	830	34	15	19	63	34	29	69	31	38	100	36	64	0	0	0	1	0	1	484	302	182	698	343	355	365	214	151	634	297	337	82	72	10	164	107	57	12	10	2	6	2	4
Capnocytophaga granulosa	1	0	1	2	1	1	199	159	40	339	222	117	4987	3739	1248	7479	5265	2214	8	4	4	10	6	4	5	3	2	9	4	5	0	0	0	1	0	1	97	46	51	163	72	91	97	62	35	184	98	86	18	16	2	43	29	14	5	5	0	3	1	2
Capnocytophaga leadbetteri	7	7	0	2	1	1	88	69	19	187	141	46	1225	944	281	1954	1440	514	28	16	12	70	31	39	34	19	15	61	27	34	2	2	0	1	0	1	495	258	237	765	330	435	174	118	56	300	141	159	45	31	14	74	48	26	11	8	3	9	5	4
Capnocytophaga ochracea	1	1	0	2	1	1	1102	884	218	2265	1642	623	2602	1932	670	4799	3429	1370	58	30	28	104	38	66	14	8	6	26	13	13	29	20	9	38	17	21	634	329	305	1034	416	618	369	206	163	669	299	370	271	177	94	608	331	277	37	21	16	71	26	45
Capnocytophaga sp000192225	0	0	0	0	0	0	68	53	15	95	68	27	187	146	41	400	292	108	0	0	0	10	7	3	14	4	10	11	5	6	3	0	3	5	3	2	65	40	25	110	56	54	39	23	16	71	28	43	18	18	0	43	31	12	1	1	0	0	0	0
Capnocytophaga sp000466425	0	0	0	0	0	0	24	20	4	50	34	16	772	573	199	1162	813	349	7	4	3	10	3	7	13	7	6	9	4	5	0	0	0	0	0	0	73	43	30	115	50	65	67	37	30	111	62	49	17	13	4	30	23	7	0	0	0	2	1	1
Capnocytophaga sp002999135	0	0	0	1	1	0	27	22	5	38	25	13	228	174	54	380	264	116	32	16	16	80	35	45	56	29	27	98	25	73	5	5	0	4	3	1	900	474	426	1440	603	837	213	125	88	368	156	212	33	28	5	73	48	25	0	0	0	2	1	1
Capnocytophaga sp905372595	0	0	0	0	0	0	2	2	0	8	4	4	351	268	83	595	419	176	3	2	1	14	7	7	15	8	7	18	13	5	0	0	0	0	0	0	80	37	43	140	66	74	37	21	16	87	43	44	13	12	1	22	15	7	0	0	0	2	1	1
Capnocytophaga sputigena	2	1	1	5	2	3	138	107	31	280	191	89	1855	1348	507	3137	2237	900	33	14	19	71	35	36	38	18	20	77	33	44	2	2	0	4	1	3	1087	559	528	1764	742	1022	526	309	217	999	446	553	167	116	51	328	193	135	10	8	2	7	4	3
Cardiobacterium hominis	6	4	2	4	0	4	145	117	28	113	82	31	4615	3639	976	3086	2126	960	23	9	14	25	10	15	20	10	10	9	6	3	0	0	0	7	3	4	213	114	99	120	37	83	127	72	55	73	40	33	31	23	8	23	12	11	15	10	5	5	2	3
Cardiobacterium valvarum	2	2	0	0	0	0	973	799	174	636	464	172	14128	11437	2691	9673	6896	2777	453	262	191	344	176	168	194	122	72	140	54	86	58	51	7	35	13	22	2782	1606	1176	1302	581	721	1297	822	475	858	384	474	466	367	99	392	218	174	94	44	50	76	23	53
Catonella massiliensis	0	0	0	1	0	1	99	84	15	249	203	46	80	65	15	190	146	44	8	6	2	43	20	23	0	0	0	2	1	1	7	4	3	7	4	3	16	9	7	16	6	10	24	17	7	25	13	12	14	13	1	33	23	10	25	14	11	40	27	13
Catonella morbi	0	0	0	0	0	0	1213	963	250	2811	2021	790	2550	1912	638	4900	3543	1357	34	22	12	93	48	45	6	5	1	6	3	3	17	15	2	27	18	9	129	79	50	216	102	114	120	79	41	191	93	98	35	29	6	95	66	29	33	24	9	41	19	22
Cellulomonas hominis	4	3	1	2	0	2	3	2	1	2	1	1	4	2	2	3	2	1	1	1	0	3	2	1	26830	24525	2305	12481	8170	4311	31	19	12	11	4	7	3	2	1	1	0	1	4	1	3	2	2	0	9	4	5	5	2	3	9	7	2	5	3	2
Cellulomonas hominis A	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3	2	1	3	2	1	1	1	0	432	369	63	286	164	122	22	11	11	19	14	5	0	0	0	0	0	0	1	0	1	2	1	1	2	2	0	0	0	0	2	2	0	0	0	0
Cellulomonas hominis C	0	0	0	0	0	0	3	2	1	1	0	1	4	4	0	0	0	0	2	2	0	2	1	1	778	687	91	468	291	177	18	11	7	7	2	5	2	2	0	2	2	0	8	3	5	1	1	0	4	4	0	4	3	1	2	1	1	4	2	2
Cellulomonas sp003696205	0	0	0	0	0	0	2	1	1	1	1	0	3	3	0	1	0	1	5	5	0	2	1	1	583	506	77	404	256	148	36	28	8	9	4	5	3	2	1	0	0	0	8	7	1	3	2	1	2	2	0	4	2	2	5	4	1	2	0	2
Cellulomonas sp008033115	0	0	0	0	0	0	4	3	1	0	0	0	2	2	0	3	3	0	1	1	0	0	0	0	542	492	50	300	191	109	5	4	1	2	0	2	0	0	0	0	0	0	2	1	1	1	0	1	2	1	1	1	1	0	2	1	1	2	1	1
Cellulomonas sp011603975	0	0	0	2	0	2	3	1	2	1	1	0	2	2	0	0	0	0	8	5	3	3	2	1	395	331	64	241	154	87	5	5	0	4	2	2	4	4	0	2	0	2	5	2	3	3	2	1	5	4	1	3	2	1	2	1	1	1	0	1
Cellulomonas sp014763765	0	0	0	0	0	0	5	5	0	0	0	0	1	1	0	2	1	1	0	0	0	1	0	1	3467	3088	379	1941	1140	801	17	14	3	4	2	2	2	1	1	1	1	0	5	4	1	1	1	0	8	8	0	2	1	1	2	2	0	3	1	2
Centipeda infelix	0	0	0	0	0	0	650	557	93	499	346	153	516	414	102	388	280	108	7	4	3	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	13	4	9	10	3	7	22	11	11	13	7	6	12	7	5	20	11	9	6	5	1	7	4	3
Centipeda massiliensis	0	0	0	0	0	0	547	457	90	394	285	109	437	341	96	354	237	117	3	1	2	5	2	3	1	0	1	2	2	0	0	0	0	0	0	0	5	3	2	1	0	1	10	6	4	12	7	5	15	13	2	13	12	1	2	2	0	3	1	2
Centipeda noxia	1	1	0	1	0	1	1301	1036	265	1097	754	343	1702	1304	398	1415	928	487	12	4	8	13	7	6	3	1	2	3	2	1	6	6	0	1	0	1	24	16	8	11	5	6	51	30	21	37	17	20	69	52	17	87	49	38	45	29	16	46	19	27
Centipeda periodontii	0	0	0	0	0	0	1222	1013	209	920	652	268	660	540	120	546	383	163	4	1	3	3	0	3	2	0	2	0	0	0	2	2	0	1	0	1	14	8	6	5	3	2	7	4	3	11	8	3	11	8	3	6	5	1	5	4	1	4	3	1
Centipeda sp000286455	0	0	0	0	0	0	201	160	41	182	126	56	147	118	29	130	89	41	4	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3	1	2	13	8	5	5	3	2	8	6	2	6	3	3	4	4	0	2	1	1
Centipeda sp000468035	2	2	0	1	0	1	1030	846	184	895	636	259	2837	2279	558	2277	1552	725	3	2	1	5	1	4	0	0	0	2	1	1	1	1	0	5	5	0	27	14	13	14	7	7	50	33	17	37	19	18	30	24	6	36	16	20	18	12	6	12	6	6
Centipeda sp001683335	0	0	0	0	0	0	556	458	98	402	277	125	196	161	35	181	127	54	6	4	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	4	3	0	3	13	6	7	7	4	3	7	5	2	12	8	4	2	1	1	2	0	2
Centipeda sp001717585	0	0	0	0	0	0	1786	1476	310	1404	952	452	482	386	96	394	274	120	3	0	3	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10	4	6	7	4	3	12	5	7	15	7	8	13	11	2	19	13	6	3	0	3	1	1	0
Centipeda sp905372865	0	0	0	0	0	0	345	288	57	278	200	78	1129	896	233	818	569	249	4	2	2	1	0	1	1	1	0	2	2	0	2	2	0	0	0	0	13	7	6	2	0	2	11	6	5	6	3	3	9	7	2	8	4	4	2	0	2	2	1	1
Chlorobium sp016866305	0	0	0	0	0	0	0	0	0	0	0	0	148	130	18	136	119	17	0	0	0	2	1	1	0	0	0	2	0	2	0	0	0	0	0	0	18	12	6	16	5	11	90	70	20	69	45	24	201	171	30	234	170	64	0	0	0	0	0	0
Cloacibacterium caeni A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	2	1	3	3	0	5	3	2	5	5	0	12	9	3	3	3	0	3	2	1	6	6	0	7	6	1	2	2	0	5	5	0	510	407	103	609	342	267
Cloacibacterium caeni B	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	2	1	1	1	1	0	1	0	1	2	2	0	11	6	5	3	3	0	2	1	1	2	2	0	3	3	0	0	0	0	4	4	0	409	348	61	466	271	195
Cloacibacterium normanense	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	4	4	0	0	0	0	0	0	0	4	3	1	2	1	1	0	0	0	5	3	2	1	1	0	4	1	3	0	0	0	0	0	0	3	3	0	3	3	0	433	346	87	517	308	209
Cloacibacterium sp002422665	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	3	1	4	0	4	6	3	3	0	0	0	2	1	1	0	0	0	3	2	1	0	0	0	2	2	0	721	568	153	810	464	346
Clostridium A leptum	2	1	1	3	0	3	1	1	0	1	0	1	0	0	0	0	0	0	14	11	3	3	3	0	298	266	32	166	108	58	33	29	4	1	0	1	39	34	5	6	2	4	20	19	1	17	7	10	4	4	0	1	0	1	86	63	23	29	11	18
Comamonas antarcticus	3	1	2	1	0	1	2	2	0	0	0	0	7	5	2	0	0	0	2	0	2	1	0	1	20	17	3	13	10	3	2	1	1	1	1	0	15	10	5	3	2	1	10	6	4	6	3	3	1035	998	37	554	451	103	5	3	2	4	0	4
Comamonas jiangduensis	4	4	0	3	2	1	0	0	0	1	1	0	3	3	0	1	1	0	0	0	0	3	1	2	3	3	0	3	2	1	4	4	0	0	0	0	15	13	2	8	3	5	5	4	1	4	3	1	2	0	2	0	0	0	954	716	238	399	183	216
Corynebacterium accolens	11	8	3	12	3	9	1	1	0	0	0	0	0	0	0	1	1	0	22	22	0	17	14	3	308	281	27	179	121	58	11	11	0	7	3	4	80	78	2	9	7	2	65	54	11	19	13	6	9	9	0	7	6	1	93	78	15	24	16	8
Corynebacterium durum	12	12	0	16	4	12	5	3	2	0	0	0	200	149	51	212	142	70	470	330	140	265	148	117	93	77	16	45	27	18	10	8	2	4	4	0	871	562	309	502	206	296	3800	2856	944	1514	855	659	2069	1905	164	1156	850	306	30	23	7	11	7	4
Corynebacterium kefirresidentii	11	6	5	4	1	3	2	1	1	1	1	0	1	0	1	1	0	1	53	49	4	29	24	5	1099	1022	77	645	481	164	34	34	0	13	4	9	180	169	11	16	11	5	151	138	13	44	30	14	34	31	3	20	17	3	150	122	28	67	35	32
Corynebacterium kroppenstedtii B	7	6	1	3	0	3	2	1	1	0	0	0	0	0	0	1	1	0	4	4	0	0	0	0	66	61	5	62	47	15	31	29	2	13	7	6	273	251	22	38	22	16	490	407	83	190	126	64	1	0	1	1	1	0	132	98	34	77	49	28
Corynebacterium matruchotii	8	0	8	10	2	8	2123	1658	465	1733	1202	531	14784	11204	3580	13198	9154	4044	145	61	84	184	68	116	141	122	19	57	34	23	6	3	3	7	5	2	4953	2591	2362	3444	1428	2016	702	392	310	680	270	410	202	111	91	216	90	126	62	47	15	35	18	17
Corynebacterium vitaeruminis	0	0	0	0	0	0	3	2	1	1	1	0	3	3	0	3	3	0	7	5	2	3	0	3	6	5	1	3	3	0	28	21	7	6	4	2	3	2	1	1	1	0	10	3	7	2	2	0	5	4	1	5	1	4	775	508	267	400	166	234
Cupriavidus basilensis	0	0	0	0	0	0	6	2	4	2	2	0	2	0	2	0	0	0	1	1	0	0	0	0	13239	11678	1561	8695	5721	2974	2	1	1	11	7	4	12	12	0	1	0	1	4	3	1	3	3	0	5	5	0	2	1	1	3	3	0	0	0	0
Cupriavidus basilensis D	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	789	687	102	606	413	193	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	4	3	1	1	0	1
Cutibacterium granulosum	13	11	2	25	6	19	5	5	0	4	3	1	5	3	2	7	5	2	165	147	18	66	46	20	2189	2024	165	870	628	242	263	248	15	37	27	10	554	510	44	74	47	27	483	398	85	173	99	74	107	101	6	57	42	15	435	331	104	177	93	84
Cutibacterium modestum	9	6	3	9	2	7	6	4	2	1	1	0	9	6	3	2	1	1	19	18	1	13	11	2	363	333	30	228	156	72	29	24	5	15	9	6	385	353	32	37	25	12	285	252	33	91	58	33	18	17	1	7	6	1	291	219	72	139	75	64
Cutibacterium namnetense	17	15	2	10	5	5	7	4	3	3	0	3	5	3	2	5	3	2	31	25	6	32	23	9	910	807	103	554	366	188	134	128	6	13	10	3	632	569	63	78	50	28	417	367	50	177	109	68	64	61	3	41	30	11	656	504	152	253	126	127
DUUL01 sp012841575	0	0	0	0	0	0	50	47	3	96	78	18	12	11	1	29	28	1	52	40	12	54	42	12	0	0	0	0	0	0	91	79	12	82	55	27	18	13	5	12	5	7	55	40	15	35	20	15	27	23	4	48	44	4	4871	3956	915	3836	2617	1219
Desulfobulbus oralis	0	0	0	0	0	0	46175	37999	8176	29651	20232	9419	31595	27241	4354	18735	13491	5244	69589	41258	28331	52858	26577	26281	10014	5971	4043	7237	2995	4242	26910	20721	6189	14038	7484	6554	18017	11169	6848	6978	3036	3942	41545	25446	16099	23460	10789	12671	93692	78686	15006	60958	40858	20100	45052	24338	20714	32547	12292	20255
Desulfomicrobium orale	0	0	0	1	1	0	165281	133029	32252	101791	69613	32178	11911	9014	2897	8447	5543	2904	1622	776	846	1438	576	862	95	43	52	89	20	69	3932	2816	1116	2580	1222	1358	5869	3161	2708	2806	1043	1763	10103	5993	4110	5797	2539	3258	954	605	349	842	394	448	92	51	41	80	24	56
Desulfovibrio sp000403945	0	0	0	0	0	0	133	107	26	105	73	32	84	72	12	59	43	16	150	79	71	127	68	59	25	11	14	14	7	7	82	69	13	40	19	21	42	20	22	23	11	12	90	52	38	75	34	41	232	195	37	133	89	44	115	71	44	84	30	54
Desulfovibrio sp003860215	0	0	0	0	0	0	1569	1261	308	966	669	297	2845	2193	652	1791	1146	645	7	6	1	8	3	5	1	1	0	7	4	3	7	5	2	11	7	4	50	32	18	18	7	11	21	13	8	20	11	9	7	7	0	5	4	1	3	1	2	7	2	5
Dialister invisus	13	12	1	5	1	4	1384	1170	214	2277	1754	523	306	273	33	376	310	66	4	1	3	7	5	2	19	19	0	11	6	5	6	6	0	22	14	8	8	6	2	11	4	7	20	16	4	17	9	8	64	59	5	87	71	16	6	5	1	6	4	2
Eggerthia catenaformis	0	0	0	0	0	0	425	356	69	970	736	234	216	177	39	501	383	118	39	24	15	76	30	46	1	1	0	2	0	2	10	9	1	73	44	29	7	6	1	16	7	9	25	19	6	39	20	19	24	20	4	44	29	15	20	12	8	18	11	7
Eikenella corrodens	0	0	0	2	1	1	191	159	32	157	110	47	2293	1835	458	1868	1346	522	35	20	15	31	14	17	76	47	29	78	35	43	0	0	0	0	0	0	1497	943	554	707	338	369	1338	841	497	909	437	472	88	72	16	101	64	37	0	0	0	0	0	0
Eikenella corrodens B	0	0	0	0	0	0	118	99	19	61	45	16	813	655	158	530	361	169	26	12	14	15	8	7	80	44	36	60	28	32	6	2	4	5	3	2	1188	733	455	550	263	287	1052	661	391	628	288	340	76	64	12	65	42	23	0	0	0	2	2	0
Eikenella exigua	0	0	0	0	0	0	153	118	35	120	91	29	557	438	119	430	312	118	40	14	26	31	16	15	70	44	26	76	28	48	9	9	0	20	8	12	1024	643	381	445	191	254	910	575	335	590	282	308	95	77	18	70	35	35	7	3	4	7	4	3
Eikenella halliae	0	0	0	0	0	0	62	50	12	38	30	8	757	595	162	505	364	141	7	2	5	17	8	9	33	17	16	31	12	19	1	1	0	0	0	0	548	310	238	203	92	111	438	268	170	295	144	151	46	38	8	38	23	15	0	0	0	0	0	0
Eikenella longinqua	0	0	0	0	0	0	404	316	88	304	207	97	118	100	18	89	59	30	13	8	5	12	6	6	15	7	8	7	3	4	5	5	0	3	1	2	151	87	64	55	22	33	144	94	50	67	31	36	18	13	5	15	12	3	2	0	2	0	0	0
Ensifer sp002002725	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	483	338	145	206	82	124
Enterobacter hormaechei A	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	3	0	3	3	0	10	10	0	5	2	3	8	8	0	1	0	1	410	379	31	55	42	13	3	3	0	0	0	0	178	175	3	141	119	22	7	4	3	1	0	1
Epilithonimonas hispanica	3	2	1	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	15	13	2	21	14	7	1	1	0	11	9	2	9	5	4	12	6	6	14	13	1	12	10	2	568	556	12	1480	1364	116	11	9	2	15	8	7
Erysipelothrix rhusiopathiae	2	2	0	2	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	0	0	0	0	0	0	9	7	2	1012	953	59	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium B infirmum	1	1	0	2	0	2	148	131	17	285	228	57	47	42	5	111	81	30	67	35	32	97	47	50	12	5	7	22	4	18	16	8	8	30	16	14	49	28	21	64	35	29	73	53	20	92	57	35	94	76	18	225	150	75	39	30	9	54	24	30
Eubacterium B sulci	0	0	0	2	0	2	70	57	13	143	115	28	12	12	0	23	21	2	35	24	11	83	49	34	4	3	1	10	5	5	2	0	2	8	5	3	29	23	6	34	14	20	42	35	7	60	33	27	33	20	13	66	52	14	26	17	9	21	12	9
Eubacterium M brachy	2	2	0	8	5	3	355	260	95	815	538	277	94	67	27	233	173	60	17	12	5	37	25	12	10	10	0	8	6	2	6	6	0	33	26	7	17	15	2	33	16	17	26	21	5	52	35	17	19	16	3	28	19	9	18	13	5	22	16	6
Eubacterium N saphenum	0	0	0	0	0	0	2093	1819	274	4390	3628	762	448	367	81	864	666	198	1	1	0	5	2	3	1	1	0	2	1	1	178	119	59	304	147	157	5	4	1	15	6	9	51	41	10	92	53	39	20	18	2	32	22	10	8	5	3	7	3	4
Exiguobacterium chiriqhucha	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1437	1058	379	922	397	525
Exiguobacterium A acetylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	1	1	1	0	5	3	2	736	534	202	573	249	324
Exiguobacterium A undae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1314	974	340	800	417	383
F0058 sp000163695	0	0	0	1	0	1	13155	10642	2513	21069	15346	5723	12187	9515	2672	17870	13083	4787	431	189	242	788	300	488	23	12	11	56	16	40	64	35	29	127	55	72	1352	667	685	1846	744	1102	1057	596	461	1582	654	928	1884	1349	535	3646	2038	1608	298	162	136	382	146	236
F0058 sp905372135	0	0	0	0	0	0	5873	4669	1204	8621	6181	2440	8662	6989	1673	11818	8845	2973	171	71	100	315	130	185	5	3	2	14	2	12	20	9	11	78	32	46	606	333	273	639	272	367	514	283	231	803	331	472	359	230	129	583	311	272	53	26	27	43	19	24
F0058 sp905372605	0	0	0	0	0	0	1477	1196	281	2354	1739	615	3408	2718	690	4729	3541	1188	34	15	19	62	24	38	2	1	1	4	0	4	6	2	4	14	6	8	113	61	52	106	49	57	99	61	38	146	58	88	40	28	12	93	47	46	10	9	1	16	8	8
Fictibacillus barbaricus	4584	4039	545	7414	5042	2372	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	105	92	13	131	112	19	7	6	1	7	4	3	0	0	0	1	1	0	1	1	0	2	2	0
Filifactor alocis	1	1	0	9	6	3	1291	986	305	2882	2113	769	844	662	182	1720	1310	410	34	24	10	71	34	37	7	3	4	13	3	10	44	16	28	92	39	53	67	32	35	109	48	61	209	139	70	407	196	211	46	33	13	91	60	31	32	26	6	39	20	19
Flavobacterium cheniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	361	289	72	503	287	216
Flavobacterium sp003497625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	648	513	135	788	427	361
Flexilinea sp001717545	0	0	0	0	0	0	120785	108654	12131	100772	79715	21057	60982	53773	7209	47126	36577	10549	5486	3632	1854	5247	3068	2179	389	241	148	294	144	150	188092	145874	42218	119744	64879	54865	1353	860	493	670	309	361	28626	19507	9119	16480	8508	7972	56524	50444	6080	37138	27619	9519	29906	17963	11943	20176	8339	11837
Fretibacterium fastidiosum	0	0	0	0	0	0	17447	14887	2560	9625	7060	2565	7746	6453	1293	4576	3260	1316	105	58	47	86	35	51	5	4	1	2	1	1	363	236	127	297	127	170	337	163	174	157	66	91	905	492	413	609	255	354	955	678	277	805	434	371	112	53	59	63	17	46
Fusobacterium animalis	0	0	0	2	1	1	82	60	22	367	266	101	62	44	18	181	121	60	6	0	6	13	6	7	5	3	2	15	9	6	1	1	0	9	2	7	123	71	52	356	166	190	57	33	24	169	83	86	9	8	1	40	21	19	2	2	0	5	4	1
Fusobacterium canifelinum	0	0	0	1	0	1	90	66	24	346	247	99	117	86	31	449	327	122	14	5	9	51	21	30	16	6	10	62	25	37	4	3	1	18	9	9	504	283	221	1539	747	792	280	173	107	919	474	445	31	18	13	129	83	46	7	2	5	9	1	8
Fusobacterium hwasookii	0	0	0	0	0	0	39	26	13	209	152	57	315	224	91	980	694	286	40	19	21	109	47	62	75	43	32	198	77	121	1	0	1	0	0	0	1882	1077	805	4975	2345	2630	527	311	216	1592	786	806	59	40	19	269	148	121	1	1	0	8	2	6
Fusobacterium nucleatum	1	1	0	4	2	2	213	147	66	876	597	279	246	175	71	834	565	269	7	0	7	24	10	14	13	5	8	27	8	19	6	3	3	43	18	25	239	121	118	635	314	321	141	71	70	457	213	244	18	11	7	89	38	51	1	0	1	10	5	5
Fusobacterium nucleatum D	0	0	0	0	0	0	59	41	18	281	199	82	174	118	56	590	408	182	10	7	3	27	17	10	12	7	5	28	12	16	3	0	3	2	2	0	370	226	144	1019	502	517	131	73	58	492	256	236	21	16	5	76	43	33	5	4	1	12	4	8
Fusobacterium nucleatum E	0	0	0	0	0	0	23	17	6	92	70	22	36	26	10	96	60	36	4	1	3	17	11	6	0	0	0	14	7	7	0	0	0	8	7	1	149	85	64	347	178	169	51	30	21	179	83	96	7	3	4	29	17	12	0	0	0	2	2	0
Fusobacterium nucleatum J	0	0	0	2	1	1	23	18	5	151	102	49	37	26	11	131	92	39	2	1	1	9	5	4	2	2	0	10	6	4	0	0	0	6	3	3	107	62	45	271	130	141	46	29	17	126	60	66	9	5	4	22	13	9	0	0	0	6	6	0
Fusobacterium periodonticum	0	0	0	1	1	0	14	10	4	69	47	22	29	23	6	94	72	22	6	2	4	23	6	17	9	4	5	19	11	8	0	0	0	0	0	0	403	222	181	1040	514	526	122	80	42	319	147	172	8	5	3	40	20	20	1	1	0	3	2	1
