Species	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Centipeda periodontii	0	0	1222	920	660	546	0	0	0	0	0	0	14	0	0	11	11	0	0	0
Centipeda sp000286455	0	0	201	182	147	130	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Centipeda sp000468035	0	0	1030	895	2837	2277	0	0	0	0	0	0	27	14	50	37	30	36	18	12
Centipeda sp001683335	0	0	556	402	196	181	0	0	0	0	0	0	11	0	13	0	0	12	0	0
Centipeda sp001717585	0	0	1786	1404	482	394	0	0	0	0	0	0	10	0	12	15	13	19	0	0
Centipeda sp905372865	0	0	345	278	1129	818	0	0	0	0	0	0	13	0	11	0	0	0	0	0
Chlorobium sp016866305	0	0	0	0	148	136	0	0	0	0	0	0	18	16	90	69	201	234	0	0
Cloacibacterium caeni	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	10	0	0	919	1075
Cloacibacterium normanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	517
Cloacibacterium sp002422665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	810
Clostridium A leptum	0	0	0	0	0	0	14	0	298	166	33	0	39	0	20	17	0	0	86	29
Comamonas antarcticus	0	0	0	0	0	0	0	0	20	13	0	0	15	0	10	0	1035	554	0	0
Comamonas jiangduensis	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	954	399
Corynebacterium accolens	11	12	0	0	0	0	22	17	308	179	11	0	80	0	65	19	0	0	93	24
Corynebacterium durum	12	16	0	0	200	212	470	265	93	45	10	0	871	502	3800	1514	2069	1156	30	11
Corynebacterium kefirresidentii	11	0	0	0	0	0	53	29	1099	645	34	13	180	16	151	44	34	20	150	67
Corynebacterium kroppenstedtii	0	0	0	0	0	0	0	0	66	62	31	13	273	38	490	190	0	0	132	77
Corynebacterium matruchotii	0	10	2123	1733	14784	13198	145	184	141	57	0	0	4953	3444	702	680	202	216	62	35
Corynebacterium vitaeruminis	0	0	0	0	0	0	0	0	0	0	28	0	0	0	10	0	0	0	775	400
Cupriavidus basilensis	0	0	0	0	0	0	0	0	14028	9301	0	11	12	0	0	0	0	0	0	0
Cutibacterium granulosum	13	25	0	0	0	0	165	66	2189	870	263	37	554	74	483	173	107	57	435	177
Cutibacterium modestum	0	0	0	0	0	0	19	13	363	228	29	15	385	37	285	91	18	0	291	139
Cutibacterium namnetense	17	10	0	0	0	0	31	32	910	554	134	13	632	78	417	177	64	41	656	253
DUUL01 sp012841575	0	0	50	96	12	29	52	54	0	0	91	82	18	12	55	35	27	48	4871	3836
Desulfobulbus oralis	0	0	46175	29651	31595	18735	69589	52858	10014	7237	26910	14038	18017	6978	41545	23460	93692	60958	45052	32547
Desulfomicrobium orale	0	0	165281	101791	11911	8447	1622	1438	95	89	3932	2580	5869	2806	10103	5797	954	842	92	80
Desulfovibrio sp000403945	0	0	133	105	84	59	150	127	25	14	82	40	42	23	90	75	232	133	115	84
Desulfovibrio sp003860215	0	0	1569	966	2845	1791	0	0	0	0	0	11	50	18	21	20	0	0	0	0
Dialister invisus	13	0	1384	2277	306	376	0	0	19	11	0	22	0	11	20	17	64	87	0	0
Eggerthia catenaformis	0	0	425	970	216	501	39	76	0	0	10	73	0	16	25	39	24	44	20	18
Eikenella corrodens	0	0	309	218	3106	2398	61	46	156	138	0	0	2685	1257	2390	1537	164	166	0	0
Eikenella exigua	0	0	153	120	557	430	40	31	70	76	0	20	1024	445	910	590	95	70	0	0
Eikenella halliae	0	0	62	38	757	505	0	17	33	31	0	0	548	203	438	295	46	38	0	0
Eikenella longinqua	0	0	404	304	118	89	13	12	15	0	0	0	151	55	144	67	18	15	0	0
Ensifer sp002002725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	206
Enterobacter hormaechei	0	0	0	0	0	0	0	0	10	0	0	0	410	55	0	0	178	141	0	0
Epilithonimonas hispanica	0	0	0	0	0	0	0	0	15	21	0	11	0	12	14	12	568	1480	11	15
Erysipelothrix rhusiopathiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	0	0	0	0
Eubacterium B infirmum	0	0	148	285	47	111	67	97	12	22	16	30	49	64	73	92	94	225	39	54
Eubacterium B sulci	0	0	70	143	12	23	35	83	0	10	0	0	29	34	42	60	33	66	26	21
Eubacterium M brachy	0	0	355	815	94	233	17	37	10	0	0	33	17	33	26	52	19	28	18	22
Eubacterium N saphenum	0	0	2093	4390	448	864	0	0	0	0	178	304	0	15	51	92	20	32	0	0
Exiguobacterium A acetylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	573
