Species	BAN001.A0101.SG1.1_5M	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M	BAN001.A0102.SG1.4_5M_over50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M	CDM019.A0102.SG1.4_5M_over50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M	CDM020.A0102.SG1.4_5M_over50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M	FUM002.A0102.SG1.5_5M_over50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M	FUM003.A0102.SG1.4_5M_over50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M	GDN001.A0102.SG1.3_5M_over50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M	GOY005.A0103.SG1.4_5M_over50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M	GOY006.A0102.SG1.5_5M_over50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M	PES001.B0101.SG1.3_5M_over50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M	PES001.B0102.SG1.5_5M_over50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M	VLD001.A0102.SG1.2_5M_over50bp	VLD001.A0102.SG1.2_5M_under50bp
Azonexus sp016709495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6387	5638	749	5607	3822	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016709965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2420	2095	325	2071	1413	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016714975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	354	49	396	258	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016721185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	477	81	479	330	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1593	1431	162	1293	905	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	351	67	424	289	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3364	2943	421	2816	1934	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016791065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382	1204	178	1175	801	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016864195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	577	106	702	451	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp017983615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	809	146	797	526	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp017983755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	467	76	485	320	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp018261895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	580	107	615	408	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp018261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	557	99	593	393	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp018780195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160	1017	143	911	618	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp018828385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548	1377	171	1145	775	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp903922075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1318	1143	175	1226	838	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp903930395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	689	76	814	532	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
