Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Filifactor alocis,0,0,1291,2882,844,1720,34,71,0,13,44,92,67,109,209,407,46,91,32,39
Flexilinea sp001717545,0,0,120785,100772,60982,47126,5486,5247,389,294,188092,119744,1353,670,28626,16480,56524,37138,29906,20176
Fretibacterium fastidiosum,0,0,17447,9625,7746,4576,105,86,0,0,363,297,337,157,905,609,955,805,112,63
Fusobacterium animalis,0,0,82,367,62,181,0,13,0,15,0,0,123,356,57,169,0,40,0,0
Fusobacterium hwasookii,0,0,39,209,315,980,40,109,75,198,0,0,1882,4975,527,1592,59,269,0,0
Fusobacterium nucleatum,0,0,318,1400,493,1651,23,77,27,79,0,59,865,2272,369,1254,55,216,0,30
Fusobacterium periodonticum,0,0,29,156,59,188,0,53,13,44,0,0,619,1635,194,507,13,66,0,0
Fusobacterium polymorphum,0,0,115,431,241,723,20,42,13,26,35,114,284,828,141,442,11,75,0,16
Fusobacterium sp000235465,0,0,31,86,25,66,0,21,0,16,0,0,248,638,80,212,0,29,0,0
Fusobacterium vincentii,0,0,49,184,51,171,0,16,20,16,0,0,134,381,61,201,0,35,0,0
GN02-872 sp003260325,0,0,0,11,871,2721,0,24,0,0,0,0,18,42,0,11,0,0,0,0
GN02-873 sp003260345,0,0,0,0,276,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella morbillorum,0,16,67,237,1464,4283,532,1634,17,39,0,24,1354,2977,4094,8090,1104,2881,26,34
Granulicatella adiacens,0,0,12,26,263,533,27,75,13,17,0,0,108,169,41,81,64,154,0,16
Granulicatella sp905371865,0,0,12,12,165,289,24,47,0,10,0,0,59,107,20,38,36,62,0,0
H1 sp001653155,0,0,909,1260,1451,2000,308,561,0,0,212,270,829,869,324,465,655,1054,206,196
HOT-345 sp003260355,0,0,117,240,615,1176,33,92,0,12,0,0,36,43,53,96,10,30,0,10
HOT-345 sp013333605,0,0,0,24,385,838,0,12,18,37,0,0,99,170,59,111,0,10,0,0
Hornefia minuta,0,0,39396,52572,11500,15336,1695,2489,87,105,23605,26733,1270,1390,5476,6129,15305,19585,13450,14861
JABCPE02 sp013333255,0,0,17,37,350,681,163,366,2380,3252,0,0,2192,2755,330,559,813,1421,0,10
JABCPE02 sp013333875,0,0,23,43,371,765,213,450,3217,4612,0,16,3245,4041,515,748,1153,2059,0,0
Johnsonella ignava,0,0,2832,9382,4027,9653,508,1081,69,79,429,912,4757,5520,9783,13859,9336,17073,221,337
Johnsonella sp905373785,0,0,386,1014,2919,6458,229,522,14,30,0,16,391,488,1372,1650,493,916,18,27
Kingella A denitrificans,0,0,13,0,301,227,43,42,13,14,0,0,725,473,121,82,61,30,11,0
Lachnoanaerobaculum gingivalis,0,0,37,102,116,290,30,108,0,0,0,30,35,52,37,64,31,103,0,0
Lachnoanaerobaculum saburreum,0,0,85,226,214,495,19,57,0,0,19,37,43,65,64,104,55,75,0,0
Lachnoanaerobaculum sp000209465,0,0,175,493,2823,6008,169,460,11,29,15,38,359,619,159,270,101,232,0,15
Lautropia dentalis,16,13,24,12,555,311,31,30,105,47,0,0,1353,509,260,114,242,221,11,0
Lautropia mirabilis,11,0,1234,596,36359,18046,1012,814,479,381,0,0,36290,13403,7565,4165,9941,7091,65,35
Leptotrichia A sp000469505,0,0,10,39,270,732,29,63,0,0,0,0,534,1145,133,281,53,129,0,0
Leptotrichia A sp001274535,0,0,28,112,3030,7273,66,214,14,42,16,36,3444,7315,663,1334,273,851,0,11
Leptotrichia A sp905371725,0,0,10,39,1144,2772,31,80,0,0,0,0,862,1854,180,459,59,211,0,0
Leptotrichia buccalis,0,0,716,2005,622,1425,0,0,0,0,0,0,84,194,48,107,37,111,0,0
Leptotrichia hofstadii,0,0,50,137,146,300,0,0,0,0,0,0,90,247,18,38,0,20,0,0
Leptotrichia massiliensis,0,0,64,180,506,1190,20,38,0,0,0,0,270,675,31,92,12,64,0,0
Leptotrichia sp013394795,0,0,96,239,80,170,0,0,0,0,0,0,51,98,0,28,0,31,0,0
Mesocricetibacter sp905373425,0,0,25,32,1224,1832,535,931,1359,1916,0,0,10039,11389,2990,3650,544,899,0,0
Methanobrevibacter A oralis,0,0,117,645,135,483,453,1234,70,102,13862,26988,201,447,3012,6165,3149,7533,2207,4313
Mogibacterium diversum,0,0,12,30,0,0,40,79,14,22,0,0,102,143,564,634,68,111,17,11
Mogibacterium pumilum,0,0,150,260,50,91,348,672,110,99,26,80,515,546,2688,2981,237,369,72,85
Mogibacterium timidum,0,0,115,253,58,147,37,78,0,14,19,44,44,64,199,229,40,81,21,27
Nanoperiomorbus periodonticus,0,0,2124,2157,409,468,0,16,0,0,36,23,18,21,41,42,318,351,627,535
Nanoperiomorbus sp013333515,0,0,2218,2357,474,479,28,34,0,0,44,58,32,17,63,57,392,437,1293,1000
Nanoperiomorbus sp905365345,0,0,2243,2434,473,479,15,20,0,0,41,41,22,13,65,41,400,411,820,749
Nanoperiomorbus sp905372225,0,0,2254,2535,493,478,10,23,0,0,31,36,23,15,53,40,321,402,732,668
Nanoperiomorbus sp905373275,0,0,2196,2363,480,510,13,15,0,0,32,30,19,24,34,38,354,374,734,556
Nanoperiomorbus sp905373385,0,0,2583,2851,577,586,12,15,0,0,0,28,27,21,50,39,396,474,783,713
Nanosynbacter lyticus,0,0,502,582,599,614,459,539,320,343,743,581,533,431,1726,1366,206,215,133,113
