"Species"	"Isolation_Source"
"34-128 sp003575245"	"other"
"34-128 sp014894735"	"other"
"34-128 sp018819665"	"other"
"34-128 sp018894595"	"other"
"34-128 sp018903015"	"other"
"34-65-8 sp002278985"	"other"
"3443-3Ac sp017357865"	"other"
"38-11 sp001509345"	"other"
"38-11 sp003446975"	"other"
"39-52-133 sp002278935"	"other"
"40-19 sp001898075"	"other"
"40-80 sp001899145"	"other"
"40-80 sp008017065"	"other"
"40CM-2-53-6 sp001915065"	"other"
"40CM-2-53-6 sp001918745"	"other"
"40CM-2-53-6 sp001918765"	"other"
"40CM-2-53-6 sp001919285"	"other"
"40CM-2-53-6 sp002495485"	"other"
"40CM-2-53-6 sp005881615"	"other"
"40CM-2-53-6 sp005882895"	"other"
"40CM-2-53-6 sp005882905"	"other"
"40CM-2-53-6 sp005882955"	"other"
"40CM-2-53-6 sp005883075"	"other"
"40CM-2-53-6 sp005883085"	"other"
"40CM-2-53-6 sp005883695"	"other"
"40CM-2-53-6 sp005884195"	"other"
"40CM-2-53-6 sp005884605"	"other"
"40CM-2-53-6 sp005888745"	"other"
"40CM-2-53-6 sp005888755"	"other"
"40CM-2-70-7 sp003222205"	"other"
"40CM-3-55-5 sp001914815"	"other"
"40CM-3-55-5 sp001918935"	"other"
