Length,counts_length,Study
45,61587,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
46,64787,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
47,66188,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
48,66996,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
49,67487,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
50,67243,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
51,68665,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
52,69648,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
53,69835,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
54,70697,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
55,69579,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
56,70240,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
57,71379,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
58,71330,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
59,69253,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
60,69886,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
61,67067,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
62,65484,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
63,66906,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
64,65370,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
65,64815,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
66,65354,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
67,64340,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
68,61631,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
69,61912,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
70,61323,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
71,61260,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
72,66786,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
73,74079,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
74,66214,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
75,121915,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
76,411230,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
77,51652,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
78,52007,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
79,50970,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
80,49162,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
81,46777,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
82,45927,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
83,44736,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
84,44281,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
85,43663,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
86,42143,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
87,42023,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
88,40656,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
89,38786,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
90,38647,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
91,37802,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
92,36132,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
93,36074,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
94,35252,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
95,33354,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
