Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Eubacterium N saphenum	0	0	4663	20650	976	4758	23	12	0	14	0	0	543	479	60	35	416	218	0	0	216	112	0	0	13	15	0	0
F0058 sp000163695	0	0	29684	100186	23959	96671	1230	671	1349	2193	53	89	180	191	11954	4599	7142	3996	0	0	21341	11288	0	0	511	623	46	39
F0058 sp905372135	0	0	13282	41097	17236	64072	187	99	535	884	29	33	67	122	4888	1602	3612	1971	0	0	3753	1815	0	0	94	84	14	0
F0058 sp905372605	0	0	3501	11057	6718	25846	20	18	105	165	0	12	19	29	832	265	680	359	0	0	443	251	0	0	18	18	13	0
Filifactor alocis	0	13	2879	13675	1689	9335	46	42	113	192	16	23	123	150	579	270	1423	995	0	0	510	291	0	0	57	66	27	22
Flexilinea sp001717545	0	0	274315	482492	120787	254384	21832	3879	18545	13995	1183	545	561202	189142	11303	1687	199095	41630	0	0	627500	112908	0	0	53154	33859	113	79
Fretibacterium fastidiosum	0	0	39761	45996	15432	24537	1419	255	369	237	31	0	1071	462	2812	380	6320	1532	0	0	10428	2641	0	0	172	112	20	0
Fusobacterium animalis	0	0	186	1790	118	1034	31	31	10	44	11	31	0	15	1068	923	372	431	0	0	73	114	17	0	0	13	37	54
Fusobacterium hwasookii	0	0	113	1072	619	5348	66	54	117	288	221	387	0	0	16136	12440	3609	4010	0	0	663	837	0	0	0	14	24	13
Fusobacterium nucleatum	0	10	720	6608	954	8640	203	178	70	205	104	146	28	98	6897	5608	2707	3249	0	0	581	751	0	0	11	53	62	76
