number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
4	10773	SPM002.A0101.SG1.1.gz	merged		
5	5257	SPM002.A0101.SG1.1.gz	merged		
6	2473	SPM002.A0101.SG1.1.gz	merged		
7	1020	SPM002.A0101.SG1.1.gz	merged		
8	392	SPM002.A0101.SG1.1.gz	merged		
9	154	SPM002.A0101.SG1.1.gz	merged		
10	54	SPM002.A0101.SG1.1.gz	merged		
11	23	SPM002.A0101.SG1.1.gz	merged		
12	4	SPM002.A0101.SG1.1.gz	merged		
14	1	SPM002.A0101.SG1.1.gz	merged		
1	91411	SPM002.A0103.SG1.4.gz	merged		
2	4407	SPM002.A0103.SG1.4.gz	merged		
3	181	SPM002.A0103.SG1.4.gz	merged		
4	22	SPM002.A0103.SG1.4.gz	merged		
5	2	SPM002.A0103.SG1.4.gz	merged		
6	2	SPM002.A0103.SG1.4.gz	merged		
7	2	SPM002.A0103.SG1.4.gz	merged		
8	1	SPM002.A0103.SG1.4.gz	merged		
9	1	SPM002.A0103.SG1.4.gz	merged		
11	1	SPM002.A0103.SG1.4.gz	merged		
18	1	SPM002.A0103.SG1.4.gz	merged		
19	1	SPM002.A0103.SG1.4.gz	merged		
30	1	SPM002.A0103.SG1.4.gz	merged		
98	1	SPM002.A0103.SG1.4.gz	merged		
1	1204192	VLD001.A0101.SG1.1.gz	merged		
2	177176	VLD001.A0101.SG1.1.gz	merged		
3	27447	VLD001.A0101.SG1.1.gz	merged		
4	4131	VLD001.A0101.SG1.1.gz	merged		
5	574	VLD001.A0101.SG1.1.gz	merged		
6	104	VLD001.A0101.SG1.1.gz	merged		
7	14	VLD001.A0101.SG1.1.gz	merged		
8	3	VLD001.A0101.SG1.1.gz	merged		
9	3	VLD001.A0101.SG1.1.gz	merged		
10	2	VLD001.A0101.SG1.1.gz	merged		
11	1	VLD001.A0101.SG1.1.gz	merged		
12	1	VLD001.A0101.SG1.1.gz	merged		
15	1	VLD001.A0101.SG1.1.gz	merged		
1	701044	VLD001.A0102.SG1.2.gz	merged		
2	66956	VLD001.A0102.SG1.2.gz	merged		
3	6030	VLD001.A0102.SG1.2.gz	merged		
4	576	VLD001.A0102.SG1.2.gz	merged		
5	53	VLD001.A0102.SG1.2.gz	merged		
6	9	VLD001.A0102.SG1.2.gz	merged		
7	1	VLD001.A0102.SG1.2.gz	merged		
8	1	VLD001.A0102.SG1.2.gz	merged		
17	1	VLD001.A0102.SG1.2.gz	merged		
36	1	VLD001.A0102.SG1.2.gz	merged		
1	403090	ZAF001.A0101.SG1.1.gz	merged		
2	155687	ZAF001.A0101.SG1.1.gz	merged		
3	65631	ZAF001.A0101.SG1.1.gz	merged		
4	24422	ZAF001.A0101.SG1.1.gz	merged		
5	8584	ZAF001.A0101.SG1.1.gz	merged		
6	2683	ZAF001.A0101.SG1.1.gz	merged		
7	846	ZAF001.A0101.SG1.1.gz	merged		
8	243	ZAF001.A0101.SG1.1.gz	merged		
9	58	ZAF001.A0101.SG1.1.gz	merged		
10	19	ZAF001.A0101.SG1.1.gz	merged		
11	11	ZAF001.A0101.SG1.1.gz	merged		
12	3	ZAF001.A0101.SG1.1.gz	merged		
13	2	ZAF001.A0101.SG1.1.gz	merged		
16	1	ZAF001.A0101.SG1.1.gz	merged		
18	1	ZAF001.A0101.SG1.1.gz	merged		
24	1	ZAF001.A0101.SG1.1.gz	merged		
1	270343	ZAF001.A0103.SG1.4.gz	merged		
2	14140	ZAF001.A0103.SG1.4.gz	merged		
3	641	ZAF001.A0103.SG1.4.gz	merged		
4	35	ZAF001.A0103.SG1.4.gz	merged		
5	7	ZAF001.A0103.SG1.4.gz	merged		
6	5	ZAF001.A0103.SG1.4.gz	merged		
8	1	ZAF001.A0103.SG1.4.gz	merged		
10	2	ZAF001.A0103.SG1.4.gz	merged		
12	1	ZAF001.A0103.SG1.4.gz	merged		
16	1	ZAF001.A0103.SG1.4.gz	merged		
20	1	ZAF001.A0103.SG1.4.gz	merged		
25	2	ZAF001.A0103.SG1.4.gz	merged		
58	1	ZAF001.A0103.SG1.4.gz	merged		
83	1	ZAF001.A0103.SG1.4.gz	merged		
		BAN001.A0101.SG1.1		Double	BAN001.A0101
		BAN001.A0102.SG1.4		Single	BAN001.A0102
		CDM019.A0101.SG1.1		Double	CDM019.A0101
		CDM019.A0102.SG1.4		Single	CDM019.A0102
		CDM020.A0101.SG1.1		Double	CDM020.A0101
		CDM020.A0102.SG1.4		Single	CDM020.A0102
		FUM001.A0101.SG1.1		Double	FUM001.A0101
		FUM001.A0102.SG1.4		Single	FUM001.A0102
		FUM002.A0101.SG1.1		Double	FUM002.A0101
		FUM002.A0102.SG1.5		Single	FUM002.A0102
		FUM003.A0101.SG1.1		Double	FUM003.A0101
		FUM003.A0102.SG1.4		Single	FUM003.A0102
		GDN001.A0101.SG1.1		Double	GDN001.A0101
		GDN001.A0102.SG1.3		Single	GDN001.A0102
		GOY005.A0101.SG1.2		Double	GOY005.A0101
		GOY005.A0103.SG1.4		Single	GOY005.A0103
		GOY006.A0101.SG1.2		Double	GOY006.A0101
		GOY006.A0102.SG1.5		Single	GOY006.A0102
		GUE001.A0101.SG1.1		Double	GUE001.A0101
		GUE001.A0102.SG1.4		Single	GUE001.A0102
		PES001.B0101.SG1.3		Double	PES001.B0101
		PES001.B0102.SG1.5		Single	PES001.B0102
		SPM002.A0101.SG1.1		Double	SPM002.A0101
		SPM002.A0103.SG1.4		Single	SPM002.A0103
		VLD001.A0101.SG1.1		Double	VLD001.A0101
		VLD001.A0102.SG1.2		Single	VLD001.A0102
		ZAF001.A0101.SG1.1		Double	ZAF001.A0101
		ZAF001.A0103.SG1.4		Single	ZAF001.A0103
